Date,AO,AAO,NAO,PNA
1979-01-01,-2.2328,0.2088,-1.38,-0.69
1979-02-01,-0.6967,0.3563,-0.67,-1.82
1979-03-01,-0.8141,0.8992,0.78,0.38
1979-04-01,-1.1568,0.6776,-1.71,0.09
1979-05-01,-0.2501,0.7237,-1.03,1.35
1979-06-01,0.9332,1.7,1.6,-1.64
1979-07-01,0.0385,2.4121,0.83,0.99
1979-08-01,-0.6841,0.5455,0.96,0.7
1979-09-01,-0.0459,0.6295,1.01,1.28
1979-10-01,-1.2434,0.1598,-0.3,1.53
1979-11-01,0.4751,-0.4225,0.53,0.54
1979-12-01,1.2948,-0.9507,1.0,-0.38
1980-01-01,-2.0657,-0.447,-0.75,-0.28
1980-02-01,-0.9337,-0.9797,0.05,1.74
1980-03-01,-1.4333,-1.4244,-0.31,-0.35
1980-04-01,-0.4191,-2.0682,1.29,1.96
1980-05-01,-1.1548,-0.4787,-1.5,-0.28
1980-06-01,0.7215,0.2857,-0.37,-0.86
1980-07-01,-0.6222,-1.9439,-0.42,-0.42
1980-08-01,-0.1852,-0.9968,-2.24,-1.99
1980-09-01,0.3126,-1.7008,0.66,-0.05
1980-10-01,-0.5212,0.5774,-1.77,2.45
1980-11-01,-1.361,-2.0129,-0.37,1.35
1980-12-01,-0.0573,-0.3563,0.78,-0.27
1981-01-01,-0.1163,0.2305,0.37,2.42
1981-02-01,-0.3316,0.0393,0.92,0.38
1981-03-01,-1.6447,-0.9655,-1.19,1.6
1981-04-01,0.4304,-1.462,0.36,-1.02
1981-05-01,0.1796,-0.344,0.2,1.98
1981-06-01,-0.4379,0.3517,-0.45,-0.2
1981-07-01,0.5605,-0.9859,0.05,-0.64
1981-08-01,-0.2441,-2.1183,0.39,-1.5
1981-09-01,-1.0401,-1.5094,-1.45,0.15
1981-10-01,-1.1675,-0.2603,-1.35,-1.45
1981-11-01,-0.1877,0.6256,-0.38,1.26
1981-12-01,-1.2157,1.1164,-0.02,-0.12
1982-01-01,-0.8834,-0.5544,-0.89,-0.86
1982-02-01,0.9739,0.2772,1.15,-0.68
1982-03-01,1.0741,1.6035,1.15,-1.4
1982-04-01,1.4538,1.5314,0.1,-1.89
1982-05-01,-0.2087,0.1179,-0.53,-0.7
1982-06-01,-1.1801,0.9201,-1.63,1.93
1982-07-01,0.0048,-0.4147,1.15,0.97
1982-08-01,0.3622,0.7793,0.26,0.34
1982-09-01,0.5577,1.58,1.76,1.05
1982-10-01,-0.211,-0.7023,-0.74,-0.93
1982-11-01,0.6609,-0.8492,1.6,-0.48
1982-12-01,0.9672,-1.9337,1.78,0.75
1983-01-01,1.3591,-1.3404,1.59,1.18
1983-02-01,-1.8059,-1.0807,-0.53,1.3
1983-03-01,-0.5671,0.1663,0.95,2.38
1983-04-01,-0.7378,0.1494,-0.85,1.26
1983-05-01,-0.4409,-0.4372,-0.07,-0.19
1983-06-01,0.3125,-0.2628,0.99,1.87
1983-07-01,0.1305,1.1141,1.19,1.33
1983-08-01,1.0978,0.792,1.61,0.53
1983-09-01,0.1669,-0.696,-1.12,-1.59
1983-10-01,1.3689,1.1935,0.65,0.09
1983-11-01,-0.6879,0.7274,-0.98,1.84
1983-12-01,0.1862,0.4755,0.29,-0.31
1984-01-01,0.905,-1.0975,1.66,0.97
1984-02-01,-0.3027,-0.5437,0.72,0.77
1984-03-01,-2.386,0.2509,-0.37,1.41
1984-04-01,-0.2836,-0.2042,-0.28,1.7
1984-05-01,0.4792,-1.2374,0.54,0.32
1984-06-01,0.0073,0.4261,-0.42,-0.44
1984-07-01,0.0189,0.8896,-0.07,-2.34
1984-08-01,0.4657,-0.5484,1.15,-1.11
1984-09-01,-0.4128,0.327,0.17,0.03
1984-10-01,-0.2703,-0.0094,-0.07,-0.63
1984-11-01,-0.9659,-0.0241,-0.06,0.42
1984-12-01,0.446,-1.4756,0.0,-1.6
1985-01-01,-2.8057,-0.7948,-1.61,1.63
1985-02-01,-1.4398,0.2155,-0.49,-0.52
1985-03-01,0.5514,-0.1336,0.2,-0.92
1985-04-01,0.6524,0.0315,0.32,-1.06
1985-05-01,-0.4322,-0.0661,-0.49,-1.03
1985-06-01,-0.3466,-0.3307,-0.8,1.1
1985-07-01,-0.3896,1.9137,1.22,0.25
1985-08-01,-0.0014,0.5948,-0.48,-0.5
1985-09-01,0.1144,1.5073,-0.52,-0.71
1985-10-01,1.0351,0.4708,0.9,-1.51
1985-11-01,-1.2175,1.0847,-0.67,-1.9
1985-12-01,-1.9476,1.2403,0.22,1.39
1986-01-01,-0.5676,0.1578,1.11,0.97
1986-02-01,-2.9041,-1.588,-1.0,0.53
1986-03-01,1.9308,-0.7696,1.71,0.83
1986-04-01,0.103,-0.0867,-0.59,0.09
1986-05-01,0.3669,-1.8466,0.85,-0.13
1986-06-01,0.5346,-0.6194,1.22,0.26
1986-07-01,-0.0083,0.0892,0.12,0.07
1986-08-01,-0.8263,-0.157,-1.09,-1.45
1986-09-01,-0.0234,0.8487,-1.12,-0.29
1986-10-01,1.4246,0.3057,1.55,0.92
1986-11-01,0.9257,-0.2225,2.29,-0.73
1986-12-01,0.0598,0.8863,0.99,1.37
1987-01-01,-1.1476,-0.9504,-1.15,1.0
1987-02-01,-1.4732,-0.7077,-0.73,0.65
1987-03-01,-1.7465,-0.1327,0.14,1.17
1987-04-01,0.387,-0.2856,2.0,1.83
1987-05-01,0.3252,0.0386,0.98,-1.26
1987-06-01,-0.7103,-0.7019,-1.82,0.42
1987-07-01,-0.4663,-1.5313,0.52,-0.01
1987-08-01,-0.8357,1.4852,-0.83,0.77
1987-09-01,0.2865,-0.7989,-1.22,-3.07
1987-10-01,-0.08,0.4555,0.14,0.53
1987-11-01,-0.5358,1.0604,0.18,1.26
1987-12-01,-0.5339,0.2723,0.32,0.8
1988-01-01,0.2647,-0.6117,1.02,0.53
1988-02-01,-1.0662,0.5508,0.76,1.25
1988-03-01,-0.1971,-0.219,-0.17,0.69
1988-04-01,-0.5607,-0.0768,-1.17,1.4
1988-05-01,-0.8461,-0.7486,0.63,0.6
1988-06-01,0.0605,-1.0549,0.88,1.13
1988-07-01,-0.1434,0.576,-0.35,2.16
1988-08-01,0.2546,-0.7449,0.04,-0.59
1988-09-01,1.0393,-0.6885,-0.99,-1.11
1988-10-01,0.0324,-2.314,-1.08,0.66
1988-11-01,-0.0347,0.401,-0.34,0.13
1988-12-01,1.6788,1.0745,0.61,0.63
1989-01-01,3.106,0.6184,1.17,-0.72
1989-02-01,3.2793,0.8489,2.0,-1.06
1989-03-01,1.5303,0.6321,1.85,-1.3
1989-04-01,-0.2502,-0.5731,0.28,-0.54
1989-05-01,0.8888,2.6906,1.38,-0.14
1989-06-01,0.345,1.9948,-0.27,-0.63
1989-07-01,0.8656,1.4576,0.97,-0.18
1989-08-01,0.5509,-0.1319,0.01,-0.24
1989-09-01,0.7031,-0.1212,2.05,0.54
1989-10-01,0.9907,0.1358,-0.03,-1.13
1989-11-01,0.0338,0.572,0.16,-0.72
1989-12-01,-0.6437,-0.445,-1.15,0.87
1990-01-01,1.0007,-0.3521,1.04,-0.34
1990-02-01,3.4016,1.1507,1.41,-1.86
1990-03-01,2.99,0.4142,1.46,0.34
1990-04-01,1.8788,-1.8786,2.0,-0.39
1990-05-01,0.9428,-1.8034,-1.53,0.21
1990-06-01,0.3043,0.0931,-0.02,-1.41
1990-07-01,-0.2958,-1.2151,0.53,0.17
1990-08-01,-0.1802,0.4657,0.97,1.79
1990-09-01,-0.2104,1.4816,1.06,-0.5
1990-10-01,0.6603,0.139,0.23,-0.97
1990-11-01,0.5206,-0.359,-0.24,-1.73
1990-12-01,1.2767,-0.3117,0.22,-1.32
1991-01-01,0.7232,0.8689,0.86,0.66
1991-02-01,-0.876,-0.8517,1.04,1.07
1991-03-01,-0.5268,0.5223,-0.2,-0.94
1991-04-01,0.5302,-0.6394,0.29,0.64
1991-05-01,0.4865,-0.5386,0.08,-0.81
1991-06-01,-0.1154,-1.1546,-0.82,-0.97
1991-07-01,-0.188,-1.2202,-0.49,0.75
1991-08-01,0.7969,0.0355,1.23,-0.25
1991-09-01,-0.1122,-0.513,0.48,1.43
1991-10-01,-0.2519,-0.6232,-0.19,-2.28
1991-11-01,0.2847,-0.8042,0.48,0.24
1991-12-01,1.6132,-2.0675,0.46,0.47
1992-01-01,0.55,0.0726,-0.13,1.28
1992-02-01,1.1217,-1.6268,1.07,0.29
1992-03-01,0.9842,-1.0103,0.87,0.77
1992-04-01,-0.5205,-0.4393,1.86,-0.05
1992-05-01,1.3414,-2.032,2.63,1.27
1992-06-01,-0.302,-2.1933,0.2,1.17
1992-07-01,0.1911,-0.5662,0.16,0.85
1992-08-01,0.5353,-0.3495,0.85,-0.34
1992-09-01,-0.6403,0.435,-0.44,-1.31
1992-10-01,-0.3659,-0.3194,-1.76,0.21
1992-11-01,0.717,0.1218,1.19,0.85
1992-12-01,1.6267,0.2436,0.47,-1.23
1993-01-01,3.4953,-2.0206,1.6,-0.65
1993-02-01,0.1845,0.437,0.5,0.55
1993-03-01,0.7643,-0.3776,0.67,1.27
1993-04-01,-0.4354,0.0872,0.97,1.54
1993-05-01,-1.6075,1.2599,-0.78,2.66
1993-06-01,-0.5195,1.2179,-0.59,0.52
1993-07-01,-0.5107,1.9571,-3.18,0.15
1993-08-01,-0.393,1.0829,0.12,-0.14
1993-09-01,-0.3606,1.061,-0.57,-1.12
1993-10-01,-0.565,0.7481,-0.71,-0.3
1993-11-01,1.0018,0.3237,2.56,-0.36
1993-12-01,-0.1041,1.0281,1.56,0.72
1994-01-01,-0.2879,0.7227,1.04,-0.12
1994-02-01,-0.8615,1.157,0.46,-0.73
1994-03-01,1.881,0.6933,1.26,0.54
1994-04-01,0.2247,-0.0525,1.14,-0.47
1994-05-01,-0.1154,-0.1527,-0.57,0.45
1994-06-01,1.6063,-1.6819,1.52,-1.38
1994-07-01,0.3507,-0.4922,1.31,0.38
1994-08-01,0.8275,1.9099,0.38,-1.34
1994-09-01,-0.0841,-0.947,-1.32,-2.38
1994-10-01,0.174,-0.5778,-0.97,-0.23
1994-11-01,1.7794,-0.7926,0.64,-1.67
1994-12-01,0.8938,0.9327,2.02,0.69
1995-01-01,-0.1538,1.4485,0.93,0.66
1995-02-01,1.4289,0.5329,1.14,0.73
1995-03-01,0.3932,-0.1544,1.25,0.33
1995-04-01,-0.9631,0.6488,-0.85,0.29
1995-05-01,-0.8912,1.3967,-1.49,0.01
1995-06-01,-0.1118,-0.802,0.13,0.74
1995-07-01,-0.2171,-3.0097,-0.22,-0.34
1995-08-01,0.5436,-0.6965,0.69,-0.3
1995-09-01,-0.549,1.1733,0.31,1.52
1995-10-01,0.075,-0.057,0.19,-0.05
1995-11-01,-0.7233,0.1429,-1.38,-0.75
1995-12-01,-2.1271,1.4697,-1.67,0.92
1996-01-01,-1.2004,0.3321,-0.12,-0.02
1996-02-01,0.1632,-0.525,-0.07,-0.3
1996-03-01,-1.4832,0.5435,-0.24,-0.47
1996-04-01,-1.5251,0.115,-0.17,0.77
1996-05-01,-0.2264,0.9832,-1.06,0.32
1996-06-01,0.4967,-0.252,0.56,-1.21
1996-07-01,0.7146,0.0209,0.67,0.64
1996-08-01,0.1247,-1.5019,1.02,-0.9
1996-09-01,-1.14,-1.3144,-0.86,-0.28
1996-10-01,0.1825,0.9657,-0.33,-0.76
1996-11-01,0.1364,-1.6669,-0.56,-0.45
1996-12-01,-1.7208,-0.0231,-1.41,-1.23
1997-01-01,-0.4568,0.3689,-0.49,0.63
1997-02-01,1.8887,-0.2442,1.7,0.56
1997-03-01,1.0908,0.701,1.46,-1.3
1997-04-01,0.3236,-0.4576,-1.02,0.55
1997-05-01,-0.9611,1.0281,-0.28,0.78
1997-06-01,-0.815,-0.4576,-1.47,-0.34
1997-07-01,-0.4306,0.7797,0.34,0.56
1997-08-01,0.1206,0.7684,0.83,-0.52
1997-09-01,0.1945,0.1222,0.61,0.31
1997-10-01,-0.6997,-0.5947,-1.7,-0.26
1997-11-01,-0.6611,-1.9046,-0.9,0.91
1997-12-01,-0.0711,-0.8355,-0.96,1.16
1998-01-01,-2.0806,0.4125,0.39,0.74
1998-02-01,-0.1832,0.3896,-0.11,0.89
1998-03-01,-0.2544,0.7359,0.87,1.01
1998-04-01,-0.0379,1.9273,-0.68,1.12
1998-05-01,0.4286,-0.0381,-1.32,-2.22
1998-06-01,-0.7107,1.031,-2.72,-0.02
1998-07-01,-0.2117,1.45,-0.48,2.24
1998-08-01,0.6503,0.9041,-0.02,-0.57
1998-09-01,-1.0499,-0.1224,-2.0,0.55
1998-10-01,0.2943,0.3995,-0.29,0.55
1998-11-01,-1.4494,0.8172,-0.28,0.74
1998-12-01,1.3534,1.4352,0.87,-0.09
1999-01-01,0.1103,0.9991,0.77,0.16
1999-02-01,0.4821,0.4559,0.29,-0.12
1999-03-01,-1.4916,0.1804,0.23,0.69
1999-04-01,0.2844,0.9494,-0.95,0.3
1999-05-01,0.2259,1.639,0.92,-0.15
1999-06-01,0.707,-1.3249,1.12,0.3
1999-07-01,-0.002,0.3156,-0.9,-0.54
1999-08-01,-0.6721,0.0419,0.39,1.97
1999-09-01,0.0591,-0.0121,0.36,0.44
1999-10-01,-0.0058,1.6535,0.2,0.41
1999-11-01,0.6109,0.9006,0.65,0.48
1999-12-01,1.0431,1.7838,1.61,0.21
2000-01-01,1.2702,1.2734,0.6,-0.82
2000-02-01,1.0758,0.6197,1.7,1.12
2000-03-01,-0.4514,0.1331,0.77,1.28
2000-04-01,-0.2785,0.2327,-0.03,-0.35
2000-05-01,0.9691,1.1271,1.58,-0.28
2000-06-01,0.5861,0.1172,-0.03,-1.22
2000-07-01,-0.6494,0.0586,-1.03,-2.28
2000-08-01,0.1439,-0.6735,-0.29,-0.48
2000-09-01,0.3949,-1.8529,-0.21,-1.4
2000-10-01,0.3168,0.347,0.92,0.25
2000-11-01,-1.5815,-1.5371,-0.92,0.74
2000-12-01,-2.3544,-1.2903,-0.58,1.23
2001-01-01,-0.9588,-0.4709,0.25,1.51
2001-02-01,-0.6224,-0.2649,0.45,-0.16
2001-03-01,-1.6865,-0.5548,-1.26,0.7
2001-04-01,0.906,0.515,0.0,-0.47
2001-05-01,0.452,-0.2622,-0.02,-0.11
2001-06-01,-0.0153,0.3861,-0.2,-0.94
2001-07-01,-0.031,-0.9283,-0.25,0.06
2001-08-01,0.5205,0.9103,-0.07,-0.11
2001-09-01,-0.7066,1.1614,-0.65,0.1
2001-10-01,0.7075,1.2771,-0.24,-0.22
2001-11-01,0.8186,0.9958,0.63,1.09
2001-12-01,-1.3224,1.4736,-0.83,0.56
2002-01-01,1.3813,0.7469,0.44,-0.04
2002-02-01,1.3035,1.3341,1.1,0.14
